Show,Category
Rock of Ages ,1
Rocky ,0
Romeo and Juliet ,0
Scandalous: The Life and Trials of Aimee Semple McPherson ,0
School of Rock - The Musical ,1
Seascape ,0
Seminar ,0
She Loves Me ,0
Shining City ,0
Shrek The Musical ,1
Shuffle Along,1
Side Show ,0
Significant Other ,0
Sister Act ,1
Six Degrees of Separation ,0
Skylight ,0
Something Rotten! ,1
Sondheim on Sondheim ,0
Soul Doctor ,0
South Pacific ,1
Souvenir ,0
Speed-the-Plow ,0
Spider-Man: Turn Off the Dark ,1
Spring Awakening  - Original,1
Spring Awakening  - Revival,0
Stick Fly ,0
Sunday in the Park with George  - Rev 2,0
Sunday in the Park with George  - Rev 3,1
Sunset Boulevard ,1
Superior Donuts ,0
Sweat ,0
Sweeney Todd ,0
Sylvia ,0
Talk Radio ,0
Tarzan ,1
That Championship Season ,0
The 25th Annual Putnam County Spelling Bee ,0
The 39 Steps ,0
The Addams Family ,1
The American Plan ,0
The Anarchist ,0
The Apple Tree ,0
The Assembled Parties ,0
The Audience ,1
The Band's Visit ,0
The Big Knife ,0
The Book of Mormon ,1
The Bridges of Madison County ,0
The Caine Mutiny Court-Martial ,0
The Cherry Orchard ,0
The Coast of Utopia ,0
The Color Purple  - Original,1
The Color Purple  - Revival,1
The Columnist ,0
The Country Girl ,0
The Country House ,0
The Cripple of Inishmaan ,0
The Crucible ,0
The Curious Incident of the Dog in the Night-Time ,1
The Drowsy Chaperone ,1
The Elephant Man ,1
The Encounter ,0
The Farnsworth Invention ,0
The Father ,0
The Front Page ,1
The Gershwins Porgy And Bess ,1
The Gin Game ,0
The Glass Menagerie  - Rev 6,0
The Glass Menagerie  - Rev 7,0
The Heidi Chronicles ,0
The Heiress ,0
The History Boys ,1
The Homecoming ,0
The House of Blue Leaves ,0
The Humans ,0
The Importance of Being Earnest ,0
The King and I ,1
The Last Ship ,0
The Lieutenant of Inishmore ,0
The Light in the Piazza ,0
The Lion King ,1
The Little Dog Laughed ,0
The Little Foxes ,0
The Little Mermaid ,1
The Lyons ,0
The Merchant of Venice ,1
The Miracle Worker ,0
The Motherf**ker with the Hat ,0
The Mountaintop ,0
The Mystery of Edwin Drood ,0
The Nance ,0
The Normal Heart ,0
The Norman Conquests ,0
The Odd Couple ,1
The Other Place ,0
The Pajama Game ,0
The Parisian Woman ,0
The Pee-Wee Herman Show ,0
The People in the Picture ,0
The Performers ,0
The Phantom of the Opera ,1
The Philanthropist ,0
The Pirate Queen ,1
The Pitmen Painters ,0
The Play That Goes Wrong ,0
The Present ,0
The Price ,0
The Producers ,1
The Real Thing ,0
The Realistic Joneses ,0
The Ritz ,0
The River ,0
The Road to Mecca ,0
The Royal Family ,0
The Scottsboro Boys ,0
The Seafarer ,0
The Seagull ,0
The Snow Geese ,0
The Story of My Life ,0
The Terms of My Surrender ,0
The Testament of Mary ,0
The Threepenny Opera ,0
The Times They Are A-Changin' ,0
The Trip to Bountiful ,0
The Velocity of Autumn ,0
The Vertical Hour ,0
The Visit ,0
The Wedding Singer ,0
The Winslow Boy ,0
The Woman in White ,0
The Year of Magical Thinking ,0
Therese Raquin    ,0
This Is Our Youth ,0
Three Days of Rain ,1
Thurgood ,0
Time and the Conways ,0
Time Stands Still ,0
To Be Or Not To Be ,0
Top Girls ,0
Translations ,0
Tuck Everlasting ,0
Twelfth Night and Richard III ,1
Vanya and Sonia and Masha and Spike ,0
Venus in Fur ,0
Violet ,0
Waiting for Godot ,0
Waitress ,1
War Horse ,1
War Paint ,0
Well ,0
West Side Story ,1
Who's Afraid of Virginia Woolf? ,0
Wicked ,1
Wishful Drinking ,0
Wit ,0
"Wolf Hall, Parts One & Two ",0
Women on the Verge of a Nervous Breakdown ,0
Wonderland: A New Alice. A New Musical Adventure. ,0
Xanadu ,0
You Can't Take It With You ,0
